iter	Passed	Remaining
739	79125	27800
740	79229	27692
741	79334	27585
742	79445	27479
743	79544	27370
744	79648	27262
745	79758	27156
746	79857	27046
747	79959	26938
748	80063	26830
749	80174	26724
750	80281	26617
751	80385	26510
752	80491	26403
753	80605	26298
754	80712	26191
755	80814	26082
756	80927	25977
757	81031	25870
758	81140	25763
759	81242	25655
760	81354	25550
761	81469	25445
762	81572	25337
763	81681	25231
764	81795	25126
765	81897	25018
766	82007	24912
767	82111	24804
768	82212	24695
769	82322	24589
770	82436	24484
771	82543	24378
772	82655	24272
773	82767	24167
774	82872	24059
775	82981	23953
776	83082	23844
777	83202	23741
778	83313	23635
779	83421	23529
780	83528	23422
781	83641	23316
782	83749	23210
783	83859	23104
784	83966	22997
785	84078	22891
786	84178	22782
787	84282	22674
788	84384	22566
789	84486	22458
790	84587	22349
791	84690	22241
792	84803	22136
793	84913	22030
794	85014	21921
795	85131	21817
796	85247	21712
797	85351	21605
798	85455	21497
799	85558	21389
800	85671	21284
801	85775	21176
802	85883	21069
803	85991	20963
804	86106	20858
805	86214	20751
806	86323	20644
807	86434	20538
808	86537	20431
809	86643	20323
810	86761	20219
811	86878	20114
812	86991	20009
813	87098	19902
814	87206	19795
815	87323	19690
816	87434	19584
817	87547	19478
818	87652	19371
819	87760	19264
820	87869	19157
821	87981	19051
822	88089	18945
823	88193	18837
824	88299	18730
825	88408	18623
826	88515	18516
827	88622	18409
828	88734	18303
829	88848	18197
830	88967	18093
831	89079	17987
832	89186	17880
833	89287	17771
834	89392	17664
835	89498	17557
836	89605	17450
837	89714	17343
838	89815	17235
839	89918	17127
840	90028	17020
841	90134	16913
842	90241	16806
843	90349	16699
844	90458	16593
845	90565	16485
846	90679	16380
847	90781	16272
848	90891	16165
849	90999	16058
850	91100	15950
851	91202	15842
852	91309	15735
853	91414	15628
854	91512	15519
855	91621	15412
856	91727	15305
857	91826	15197
858	91927	15089
859	92031	14981
860	92134	14874
861	92238	14766
862	92346	14659
863	92456	14553
864	92561	14445
865	92674	14339
866	92781	14232
867	92885	14125
868	92987	14017
869	93102	13911
870	93205	13804
871	93316	13697
872	93431	13591
873	93540	13485
874	93650	13378
875	93758	13271
876	93868	13165
877	93974	13057
878	94093	12952
879	94201	12845
880	94313	12739
881	94421	12632
882	94530	12525
883	94636	12418
884	94750	12312
885	94854	12204
886	94959	12097
887	95059	11989
888	95165	11882
889	95276	11775
890	95381	11668
891	95491	11561
892	95590	11453
893	95695	11346
894	95800	11239
895	95905	11131
896	96013	11024
897	96111	10916
898	96218	10809
899	96332	10703
900	96438	10596
901	96538	10488
902	96653	10382
903	96762	10275
904	96874	10169
905	96984	10062
906	97093	9955
907	97206	9849
908	97317	9742
909	97421	9635
910	97523	9527
911	97627	9420
912	97736	9313
913	97845	9206
914	97950	9099
915	98067	8993
916	98181	8886
917	98292	8779
918	98400	8672
919	98501	8565
920	98604	8457
921	98719	8351
922	98823	8244
923	98932	8137
924	99031	8029
925	99129	7921
926	99237	7814
927	99342	7707
928	99455	7601
929	99559	7493
930	99651	7385
931	99741	7277
932	99832	7169
933	99923	7060
934	100014	6952
935	100105	6844
936	100193	6736
937	100283	6628
938	100373	6520
939	100463	6412
940	100554	6304
941	100644	6196
942	100735	6088
943	100826	5981
944	100918	5873
945	101008	5765
946	101099	5658
947	101189	5550
948	101279	5442
949	101369	5335
950	101458	5227
951	101549	5120
952	101638	5012
953	101731	4905
954	101821	4797
955	101911	4690
956	102002	4583
957	102093	4475
958	102183	4368
959	102276	4261
960	102368	4154
961	102458	4047
962	102547	3940
963	102636	3832
964	102726	3725
965	102814	3618
966	102903	3511
967	102994	3404
968	103084	3297
969	103177	3191
970	103271	3084
971	103360	2977
972	103451	2870
973	103540	2763
974	103630	2657
975	103720	2550
976	103811	2443
977	103901	2337
978	103992	2230
979	104082	2124
980	104179	2017
981	104271	1911
982	104362	1804
983	104456	1698
984	104545	1592
985	104635	1485
986	104723	1379
987	104817	1273
988	104907	1166
989	104996	1060
990	105086	954
991	105176	848
992	105266	742
993	105358	635
994	105446	529
995	105538	423
996	105630	317
997	105719	211
998	105810	105
999	105900	0
