,0
524,fBodyAccJerk-iqr()-Y
525,"fBodyAcc-bandsEnergy()-1,8"
526,tBodyGyroJerk-min()-Y
527,"fBodyAcc-bandsEnergy()-9,16.2"
528,tBodyGyroJerk-energy()-X
529,tBodyAcc-std()-X
530,"fBodyAcc-bandsEnergy()-9,16"
531,tBodyGyroJerk-max()-X
532,"fBodyAccJerk-bandsEnergy()-25,32.1"
533,fBodyGyro-energy()-X
534,fBodyAcc-mean()-Y
535,tBodyGyroJerk-energy()-Y
536,"tGravityAcc-arCoeff()-Z,2"
537,tGravityAcc-energy()-Y
538,tBodyAcc-max()-Y
539,tBodyGyroJerk-iqr()-Y
540,fBodyAccMag-energy()
541,fBodyAccJerk-sma()
542,"tGravityAcc-arCoeff()-Y,1"
543,fBodyAccJerk-entropy()-Z
544,fBodyAccJerk-entropy()-Y
545,tBodyAccJerk-entropy()-Y
546,tBodyAccJerk-max()-X
547,fBodyGyro-maxInds-Z
548,tGravityAcc-mean()-Y
549,"fBodyAccJerk-bandsEnergy()-1,24.2"
550,fBodyAcc-entropy()-Z
551,tGravityAcc-min()-X
552,fBodyGyro-maxInds-X
553,"fBodyAcc-bandsEnergy()-25,32"
554,"angle(Y,gravityMean)"
555,tGravityAcc-max()-X
556,tBodyAccJerkMag-mad()
557,tGravityAcc-mean()-X
558,fBodyAccMag-std()
559,tBodyAccJerkMag-min()
560,"tGravityAcc-arCoeff()-Z,3"
561,"tBodyAcc-correlation()-X,Y"
562,fBodyBodyAccJerkMag-entropy()
563,tGravityAcc-min()-Y
564,tBodyAccJerkMag-iqr()
565,tGravityAcc-energy()-X
566,tGravityAccMag-std()
567,"fBodyAccJerk-bandsEnergy()-25,32"
568,"angle(X,gravityMean)"
569,fBodyAccJerk-energy()-X
